node,in_degree,out_degree,total_degree,betweenness,pagerank,closeness,eigenvector
RET-00029,23,0,23,0.0,0.0035766092077711,0.2936775325572689,0.1160608026639844
RET-00067,21,0,21,0.0,0.0033193293728065,0.2889359709018523,0.1437674320237159
RET-00032,23,0,23,0.0,0.003657218861544,0.2859057935240774,0.1284359042597267
RET-00006,20,0,20,0.0,0.0033965389417176,0.2858016714987386,0.1282392715463642
RET-00043,20,0,20,0.0,0.0021018696868446,0.2851055773886642,0.0746619873123963
WHS-00053,33,4,37,0.0047822678263079,0.00243225922885,0.2837559670826364,0.0848087990010288
RET-00039,18,0,18,0.0,0.0031325920138977,0.2819502022831392,0.1044161175579402
RET-00115,15,0,15,0.0,0.0024829990852765,0.2817268753902417,0.0691175893374901
RET-00113,18,0,18,0.0,0.0023539010794168,0.281392547610902,0.130532135456815
WHS-00095,36,3,39,0.0051659438068128,0.0031352272036068,0.2802818616404714,0.0873465922361995
RET-00014,17,0,17,0.0,0.00222548765904,0.2801734385034897,0.0891971712408602
RET-00051,21,0,21,0.0,0.0026918865654244,0.2800663978982911,0.0893701251092962
RET-00019,21,0,21,0.0,0.0029208688555375,0.2795174633669341,0.1151019632742736
RET-00008,17,0,17,0.0,0.0028075407328655,0.2791838148981005,0.1072675149735232
WHS-00025,34,11,45,0.008876958390114,0.0027715441479261,0.2791792579361423,0.0760296628447095
WHS-00037,29,5,34,0.0049302334749226,0.0032000928403572,0.2781943056345252,0.0879146708731572
RET-00149,15,0,15,0.0,0.0023708776449285,0.2768047550656246,0.0783838736808188
WHS-00080,37,11,48,0.006492696373334,0.0024509241006422,0.2767838040848961,0.0418535689205428
RET-00131,18,0,18,0.0,0.0023177650890073,0.2766862545158927,0.0828991786170757
RET-00030,15,0,15,0.0,0.0027919058769764,0.2763637763637763,0.0639427990079193
