month,node,total_degree,betweenness,pagerank
2024-01,MFG-00131,73,0.04270250299985469,0.00241037602770939
2024-01,MFG-00141,59,0.0012364449112946107,0.0006214717390273286
2024-01,MFG-00028,57,0.010459801603401826,0.000908823768719521
2024-01,DST-00116,39,0.013972310479150058,0.0014016975122598148
2024-01,DST-00147,39,0.013455219792148029,0.0014133754693100983
2024-01,WHS-00028,29,0.010942413616132282,0.0031322595792910132
2024-01,WHS-00080,29,0.004914436787899913,0.002796676494618396
2024-01,MFG-00062,28,0.004482653050367866,0.0017802531549347348
2024-01,WHS-00002,27,0.012335684845021925,0.0033057909100586143
2024-01,WHS-00026,27,0.019576373541960138,0.0023608226244723677
2024-01,WHS-00029,27,0.011956624878116258,0.0031309466351954894
2024-01,WHS-00025,26,0.0015306789775669655,0.002350642253642443
2024-01,WHS-00041,25,0.014721175196963556,0.0018931124888624852
2024-01,WHS-00086,25,0.015084172496067687,0.0016998014846640163
2024-01,MFG-00135,25,0.005866496130793662,0.001526509545953246
2024-01,WHS-00075,25,0.018973402011707576,0.0023614687828823764
2024-01,WHS-00087,25,0.01057525262878657,0.0017939635318203675
2024-01,MFG-00110,25,0.0038244774405634644,0.0014572673346456078
2024-01,WHS-00045,25,0.00040783054031773687,0.002278222695665266
2024-01,MFG-00089,25,0.004370109152406135,0.0016082989974756498
2024-02,MFG-00131,71,0.041813451175482595,0.0020428288509582427
2024-02,MFG-00141,57,0.001237695097637204,0.0005954814824309588
2024-02,MFG-00028,56,0.009919539431241957,0.0007325608807201773
2024-02,DST-00116,39,0.01831785406325744,0.0021390815899497433
2024-02,DST-00147,39,0.011766444919721713,0.0012594916096249984
2024-02,WHS-00080,29,0.004880930062379219,0.002229086243122945
2024-02,MFG-00062,27,0.002382952076534288,0.0015585328774829115
2024-02,WHS-00002,27,0.010439147829969839,0.0031429834506062973
2024-02,MFG-00089,27,0.004572705965033142,0.0016527692595598813
2024-02,WHS-00025,26,0.0015080151260234167,0.0027605730792244067
2024-02,WHS-00026,26,0.01964042298351553,0.0027732482681050593
2024-02,MFG-00110,25,0.004418593856911716,0.001708120008301398
2024-02,WHS-00087,25,0.007462068586999952,0.0017399722393261169
2024-02,WHS-00075,24,0.01655248779520357,0.00247188909555385
2024-02,MFG-00029,24,0.004320802016095788,0.0024795094440838725
2024-02,WHS-00065,24,0.01106542877298385,0.0022823731590811596
2024-02,MFG-00082,24,0.0016426564292178556,0.001063050888730052
2024-02,WHS-00038,24,0.010367764091449443,0.002588496852445818
2024-02,WHS-00045,24,0.00045998796277130715,0.002168971736501566
2024-02,WHS-00051,24,0.005632735796397315,0.0014990055913637207
2024-03,MFG-00131,69,0.039039121683520556,0.0027466716179629065
2024-03,MFG-00028,56,0.010503483343023243,0.0008493329891022174
2024-03,MFG-00141,56,0.0012141218427974949,0.0006478316855368673
2024-03,DST-00147,40,0.012643226092565737,0.0012561030667021013
2024-03,DST-00116,39,0.01855186213340222,0.001794809513918725
2024-03,WHS-00002,28,0.011368116683299222,0.003600037493504192
2024-03,WHS-00026,27,0.019071602820875035,0.0025264690480865035
2024-03,WHS-00080,27,0.003957184967651115,0.0020969616091644017
2024-03,MFG-00089,26,0.0031843358251383443,0.0014009459847855812
